0.1v,0.1i,0.2v,0.2i,0.3v,0.3i,0.4v,0.4i,0.5v,0.5i,0.6v,0.6i,0.7v,0.7i,0.8v,0.8i,0.9v,0.9i,1.0v,1.0i
1.932500999,2.99E-04,1.932500999,2.99E-04,1.904500999,3.40E-04,1.744500999,3.32E-04,1.872501,3.52E-04,1.624687175,-1.20E-04,1.601382324,-7.07E-04,1.800850381,3.47E-04,1.952501,4.55E-04,1.872501,4.00E-04
1.900500999,2.93E-04,1.900500999,2.93E-04,1.872501,3.22E-04,1.690434555,2.88E-04,1.840501,3.17E-04,1.605739393,-4.44E-04,1.594859916,-8.51E-04,1.752990134,2.70E-04,1.936501,4.41E-04,1.808501,4.27E-04
1.868501,2.76E-04,1.868501,2.76E-04,1.808501,3.22E-04,1.664210516,2.14E-04,1.808501,2.77E-04,1.588836889,-8.64E-04,1.5818151,-0.001231967,1.705129887,3.23E-04,1.904500999,4.44E-04,1.750901,3.78E-04
1.836500999,2.48E-04,1.836500999,2.48E-04,1.7566085,3.06E-04,1.637986478,7.51E-05,1.776500999,2.29E-04,1.573624634,-0.00134709,1.568770284,-0.001698581,1.666876049,1.34E-04,1.880212284,4.30E-04,1.693300999,3.14E-04
1.772501,2.67E-04,1.772501,2.67E-04,1.704716,2.80E-04,1.616100347,-1.53E-04,1.744500999,1.67E-04,1.55841238,-0.001878541,1.555725468,-0.002201436,1.64774913,3.25E-05,1.855923569,4.12E-04,1.66394545,1.78E-04
1.717259873,2.49E-04,1.717259873,2.49E-04,1.675550523,2.35E-04,1.598112905,-4.56E-04,1.712501,7.12E-05,1.543200126,-0.002346376,1.542680652,-0.002653849,1.62862221,-1.59E-04,1.831634854,3.92E-04,1.634589901,-9.84E-05
1.684948579,2.21E-04,1.684948579,2.21E-04,1.646385047,1.40E-04,1.582013806,-8.23E-04,1.680501,-9.95E-05,1.533207317,-0.00252764,1.529635835,-0.002934119,1.609495291,-4.89E-04,1.783057423,3.43E-04,1.610322525,-5.47E-04
1.662075731,1.80E-04,1.662075731,1.80E-04,1.629769574,2.30E-05,1.567524617,-0.001203067,1.676500999,-2.02E-05,1.523214508,-0.002554997,1.517895501,-0.002933906,1.592281064,-9.43E-04,1.734479993,2.46E-04,1.590347489,-0.001150446
1.639202883,1.00E-04,1.639202883,1.00E-04,1.613154102,-1.49E-04,1.553035428,-0.00156154,1.668501,8.97E-05,1.51422098,-0.002425546,1.507425763,-0.002693167,1.57678826,-0.001492036,1.703175442,2.94E-04,1.572858253,-0.001886267
1.619861969,-2.63E-05,1.619861969,-2.63E-05,1.598200178,-3.71E-04,1.53854624,-0.001791985,1.652501,1.19E-04,1.506126805,-0.002194158,1.498116894,-0.00231637,1.561295455,-0.002143791,1.671870892,1.99E-04,1.557117941,-0.002684925
1.603510246,-1.97E-04,1.603510246,-1.97E-04,1.583246253,-6.57E-04,1.52550597,-0.001800481,1.639565639,5.98E-05,1.49803263,-0.001890817,1.489738913,-0.0019081,1.545802651,-0.002801368,1.653658403,9.35E-05,1.54137763,-0.00349439
1.588793695,-4.04E-04,1.588793695,-4.04E-04,1.568292328,-9.80E-04,1.51429463,-0.001638286,1.626630278,-5.04E-05,1.489938454,-0.001563776,1.481360931,-0.001506682,1.530309847,-0.003278865,1.635445915,-8.40E-05,1.525637318,-0.004089006
1.5755488,-6.23E-04,1.5755488,-6.23E-04,1.553338403,-0.001274349,1.504346948,-0.001404525,1.61742795,-1.68E-04,1.481844279,-0.001261507,1.47298295,-0.001169349,1.520946916,-0.003363396,1.617233426,-3.71E-04,1.516042952,-0.004199667
1.562303904,-8.42E-04,1.562303904,-8.42E-04,1.538384478,-0.001440964,1.495394034,-0.001176649,1.609145854,-3.00E-04,1.473750104,-0.001017697,1.464604968,-9.24E-04,1.511583986,-0.00325011,1.600842186,-7.61E-04,1.506448586,-0.004055951
1.549059008,-0.001005403,1.549059008,-0.001005403,1.524925946,-0.001413292,1.48644112,-9.76E-04,1.601766032,-4.40E-04,1.466465346,-8.60E-04,1.457951047,-7.99E-04,1.503157349,-0.002972959,1.584450946,-0.001301355,1.497813657,-0.003695542
