1v,1i,2v,2i,3v,3i,4v,4i,5v,5i,6v,6i,7v,7i,8v,8i,9v,9i,10v,10i,,,,,
1.169828384,5.13E-09,1.121818441,1.51E-09,1.111923613,1.50E-09,1.097371199,1.13E-09,1.095808161,1.31E-09,1.082560863,9.40E-10,1.084407815,1.16E-09,1.07513938,9.21E-10,1.077524067,1.13E-09,1.082136051,1.52E-09,,,,,
1.175298294,6.36E-09,1.126949705,2.34E-08,1.117336398,1.85E-09,1.102511346,1.36E-09,1.101213562,1.62E-09,1.087678948,9.64E-09,1.089758247,1.43E-09,1.080722552,1.14E-09,1.082859438,1.40E-09,1.087378549,4.81E-09,,,,,
1.180768204,7.90E-09,1.132080968,2.27E-09,1.122749182,2.30E-09,1.107651493,1.68E-09,1.106618963,4.55E-08,1.092796716,1.41E-09,1.095108679,1.77E-09,1.086305724,1.43E-09,1.088194809,1.73E-09,1.092621046,2.30E-09,,,,,
1.186238115,9.81E-09,1.137212232,2.31E-08,1.128161966,2.85E-09,1.11279164,2.06E-09,1.112024364,2.58E-09,1.097914485,1.72E-09,1.10045911,2.19E-09,1.091888896,1.78E-09,1.093530181,2.14E-09,1.097863543,2.82E-09,,,,,
1.191708025,1.22E-08,1.142313186,3.40E-09,1.133574751,3.53E-09,1.117931788,2.52E-09,1.116609542,-1.95E-08,1.103032253,2.09E-09,1.105809542,2.71E-09,1.097472068,2.22E-09,1.098865552,3.98E-08,1.103106041,3.47E-09,,,,,
1.197177935,1.51E-08,1.14741414,2.24E-08,1.138987535,7.31E-08,1.123071935,3.09E-09,1.122820513,3.71E-09,1.108150021,2.56E-09,1.111159974,4.85E-08,1.10305524,2.77E-09,1.104200923,3.39E-09,1.108348538,4.27E-09,,,,,
1.202647846,1.88E-08,1.152515094,5.08E-09,1.144400319,5.62E-09,1.128212082,5.26E-08,1.129031484,4.87E-09,1.113267789,3.13E-09,1.116510405,4.30E-09,1.108638412,3.46E-09,1.108788387,-1.53E-08,1.113591035,5.25E-09,,,,,
1.208117756,2.31E-07,1.157616049,4.15E-08,1.149006742,-6.27E-09,1.133352229,4.80E-09,1.134598228,6.07E-09,1.118385558,3.83E-09,1.121096224,-1.83E-08,1.114221584,6.06E-08,1.114948563,4.88E-09,1.118833533,5.40E-08,,,,,
1.213587666,3.01E-08,1.162717003,7.65E-09,1.153613165,7.75E-09,1.137978362,-1.61E-08,1.140164972,7.56E-09,1.123503326,4.95E-08,1.12726811,6.19E-09,1.119804756,5.61E-09,1.121108739,6.37E-09,1.12407603,8.25E-09,,,,,
1.218161017,-7.08E-08,1.167817957,3.85E-08,1.158219588,9.40E-09,1.143879353,6.89E-09,1.145731716,9.42E-09,1.128621094,5.94E-09,1.133439997,8.08E-09,1.124344891,-2.54E-08,1.126652897,7.93E-09,1.128664735,-1.49E-08,,,,,
